AccountingSettings,IsSingleTaxPerInvoice,((0))
AccountingSettings,EnableMultiRateAPInvoices,((0))
AccountingSettings,EnableInvoiceStocksManagement,((0))
AccountingSettings,AllowPositiveAmountsInTheCreditNote,('false')
AccountingSettings,AllowClosureWithoutPayables,('false')
AccountingSettings,AllowMinusInvoicelines,((0))
AccountingSettings,IsARPaymentChronologicalDates,((0))
AccountingSettings,IsAPInvoicesTransferEnabled,('false')
AccountingSettings,IsARInvoicesTransferEnabled,('false')
AccountingSettings,EnableMultiCurrencyARPayments,((0))
AccountingSettings,NotifyPastDateOnInvoiceEdit,((0))
AccountingSettings,EnableMultiPercentageVATTypes,((0))
AccountingSettings,IsAPPaymentsTransferEnabled,((0))
AccountingSettings,TransferToDropboxActivated,((0))
AccountingSettings,QBOOAuth,((0))
ExternalReconciliationLines,Tenant,((0))
MAWBStacks,IsUsed,('0')
DocumentTypeTemplates,TemplateFooterHeight,((0))
DocumentTypeTemplates,TemplateHeaderHeight,((0))
DocumentTypeTemplates,IsCopiedAtSignup,((0))
DocumentTypeTemplates,IsEnabledForCustomers,((0))
AccountingSystems,IsSingleTaxPerInvoice,('false')
AccountingSystems,IsJournalMode,('false')
AccountingSystems,AllowAPInvoicesTransfer,('false')
AccountingSystems,IsExternalCodesSyncEnabled,((0))
AccountingSystems,IsTaxItemManaged,('false')
AccountingSystems,ShowDownloadScreen,('false')
AccountingSystems,InActive,((0))
AccountingSystems,AllowPositiveAmountsInTheCreditNote,('false')
AccountingSystems,AllowARInvoicesTransfer,('false')
AccountingSystems,AllowMinusInvoiceLines,('false')
AccountingSystems,IsSingleCurrencyAccount,('false')
AccountingSystems,IsExternalCodesFromTable,((0))
AccountingSystems,AllowManuallyDueDate,('false')
AccountingSystems,AllowARPaymentsTransfer,((0))
AccountingSystems,CanTransferToDropbox,((0))
AccountingSystems,AllowAPPaymentsTransfer,((0))
AccountingSystems,IsExternalCodesFromAPI,((0))
ExternalReconciliations,IsCancelled,((0))
Correspondences,NotifyOwner,((0))
Correspondences,NotifyMe,((0))
Correspondences,InternalUsers,('')
Correspondences,RightToLeft,((0))
ShipmentPackages,HasContainerException,((0))
ShipmentPackages,IsDeliveryFU,((0))
ShipmentPackages,IsEmptyContainerReturnFU,((0))
ShipmentPackages,NonActiveContainer,((0))
ShipmentPackages,IsMultiHarmonize,((0))
ShipmentPackages,MarinePollutant,((0))
ShipmentPackages,NumberOfInsidePackages,((0))
AWBSpecialHandlingCodes,InActive,((0))
AWBSpecialHandlingCodes,Id,('')
AWBSpecialHandlingCodes,IsIATA,((0))
QuestionnaireAnswers,VersionNumber,((0))
ShipmentAdditionalCloudDatas,DocsSentToAgent,((0))
ShipmentAdditionalCloudDatas,SendUpdatesToAgentEnabled,((0))
ShipmentAdditionalCloudDatas,IsPaymentRequired,((0))
ShipmentAdditionalCloudDatas,IsUserIDNumberRequired,((0))
AccountingSystemsSettings,UpdateOnNextRequest,('false')
SharedLogisticsContactLastLogins,Via,('')
VatMandatoryType,ViewOrder,((0))
Questionnaires,VersionNumber,((0))
Questionnaires,InActive,('false')
EmailProviders,SupportsEmailDelivery,((0))
AgentSharedManifests,DirectionId,('')
AgentSharedManifests,TransportModeId,('')
AgentSharedManifests,CancelledBySenderAgent,((0))
VatTypes,IsMultiPercentage,((0))
ShipmentPayables,TariffVersion,((0))
ShipmentPayables,IsChargeBySteps,((0))
ShipmentPayables,Id,((0))
ShipmentPayables,IsBackToBack,((0))
EmployeeGroupLines,IsDefaultOwner,((0))
Ayman_GlobalContacts,IsUser,((0))
Ayman_GlobalContacts,InternetAccess,((0))
Ayman_GlobalContacts,InActive,((0))
AccountingTransferLines,Tenant,((0))
MenuButtons,Width,('0')
InterestReportLinesByDates,LineNumber,((0))
VatUniqueType,ViewOrder,((0))
OccasionInvitees,Participated,((0))
OccasionInvitees,Invited,((0))
Countries,IsNorthAmerica,((0))
