ContactTenantRoleSet,ContactTenantId,NULL,0
ContactTenantRoleSet,RoleId,NULL,0
UsersReleaseNotesDisplays,UserId,NULL,0
LedgerTransactions,AccountId,NULL,0
LedgerTransactions,ControlAccountId,NULL,0
LedgerTransactions,CurrencyId,NULL,0
LedgerTransactions,JournalId; JournalLineNumber,NULL,0
LedgerTransactions,OpenAmountCurrencyId,NULL,0
LedgerTransactions,OppositeAccountId,NULL,0
LedgerTransactions,AccountId; IsReconciled; InReconcileProgress,NULL,0
Queries,FeatureId,NULL,0
Queries,QueryGroupCode,NULL,0
Queries,ObjectTableId,NULL,0
Queries,OriginalQueryId,NULL,0
Queries,NameTextCodeId,NULL,0
Queries,UserId,NULL,0
Queries,SharedByUserId,NULL,0
LogBoxTenantSettings,Id,NULL,0
LogBoxTenantSettings,LogBoxAdminUserId,NULL,0
DocumentTypeCustomFields1,FieldDataTypeCode,NULL,0
DocumentTypeCustomFields1,DocumentTypeId,NULL,0
UserPermittedBranches,BranchId,NULL,0
UserPermittedBranches,UserId,NULL,0
ContactTenants,ContactId,NULL,0
ContactTenants,TenantId,NULL,0
ShipmentLevels,AutomaticLastUpdateDate,NULL,0
LogitudeMessagesTransmissionLogs,AWBNumber; SentDate; Tenant,NULL,0
DWHSettings,AutomaticLastUpdateDate,NULL,0
DocumentTypeMetaDatas,DocumentsMetaDataTypeId,NULL,0
DocumentTypeMetaDatas,DocumentTypeId,NULL,0
UserPermittedProducts,ProductTypeCode,NULL,0
UserPermittedProducts,UserId,NULL,0
ConversationHeaderMessages,ConversationHeaderId,NULL,0
ConversationHeaderMessages,CreatedByUserId,NULL,0
ShipmentMasterDatas,AWBPrintingSecurityStatusId,NULL,0
ShipmentMasterDatas,CargonautFWBStatusCode,NULL,0
ShipmentMasterDatas,MainCarriageFromAddressId,NULL,0
ShipmentMasterDatas,MainCarriageFromPartnerId,NULL,0
ShipmentMasterDatas,MainCarriageCarrierId,NULL,0
ShipmentMasterDatas,MainCarriageFinalDestinationPortId,NULL,0
ShipmentMasterDatas,MainCarriageFromPortId,NULL,0
ShipmentMasterDatas,MainCarriageVesselId,NULL,0
ShipmentMasterDatas,MainCarriageToPortId,NULL,0
ShipmentMasterDatas,StatusId,NULL,0
ShipmentMasterDatas,FWBStatusCode,NULL,0
ShipmentMasterDatas,MainCarriageToAddressId,NULL,0
ShipmentMasterDatas,MainCarriageToPartnerId,NULL,0
ShipmentMasterDatas,Transshipment1CarrierId,NULL,0
ShipmentMasterDatas,Transshipment1FromPortId,NULL,0
ShipmentMasterDatas,Transshipment1VesselId,NULL,0
ShipmentMasterDatas,Transshipment1ToPortId,NULL,0
ShipmentMasterDatas,Transshipment2CarrierId,NULL,0
ShipmentMasterDatas,Transshipment2FromPortId,NULL,0
ShipmentMasterDatas,Transshipment2VesselId,NULL,0
ShipmentMasterDatas,Transshipment2ToPortId,NULL,0
ShipmentMasterDatas,Transshipment3CarrierId,NULL,0
ShipmentMasterDatas,Transshipment3FromPortId,NULL,0
ShipmentMasterDatas,Transshipment3VesselId,NULL,0
ShipmentMasterDatas,Transshipment3ToPortId,NULL,0
ShipmentMasterDatas,InterlineId,NULL,0
ShipmentMasterDatas,ManifestStatusCode,NULL,0
ShipmentMasterDatas,Tenant; Master; InterlineId,NULL,0
ShipmentMasterDatas,Master; InterlineId,NULL,0
ShipmentMasterDatas,OBLTypeCode,NULL,0
ShipmentMasterDatas,AutomaticLastUpdateDate,NULL,0
QueryColumns,ObjectFieldId,NULL,0
QueryColumns,QueryId,NULL,0
QueryColumns,UserId,NULL,0
QueryColumns,Tenant,NULL,0
QueryColumns,Tenant,NULL,0
QueryColumns,Tenant; UserId,NULL,0
CustomerDepositions,CustomsShipperId,NULL,0
AccountingPeriods,PeriodTypeCode,NULL,0
DocumentTypes,DocumentsDataProviderCode,NULL,0
DocumentTypes,DocumentTypeCategoryCode,NULL,0
DocumentTypes,Tenant,NULL,0
DocumentTypes,AgentRoleId,NULL,0
DocumentTypes,CustomerRoleId,NULL,0
DocumentTypes,ObjectTableId,NULL,0
DocumentTypes,TemplateFormatCode,NULL,0
Users,DistributorCode,NULL,0
Users,BranchId,NULL,0
Users,DepartmentId,NULL,0
Users,BusinessUnitId,NULL,0
Users,FreelancerId,NULL,0
