 ,WCO  CRI ,,,,,לטובת הסבות מסר קיים למסר חדש,,,v,,,,WCO  CRI ,לטובת הסבות מסר קיים למסר חדש,,כללי,,, 
107,  declaration,3,T006 ,0..1,,,מספר לויד'ס של האנייה-רשומה 2-פוז' 071-078,M,העתקה מלאה,קוד אוניה,"Identification of means of transport crossing the border, coded", ID,       ID,Declaration.BorderTransportMeans.ID,מספר מזהה כלי תובלה,,"
בימי -מספר לוידס , באווירי -מספר זנב במטוס , ביבשתי מספר רישוי של המשאית",,צריך
108,  declaration,3,149 ,0..1,,,"מספר הפלגה-רשומה 2- פוז' 037-042

",M,העתקה מלאה,"מספר הפלגה

",Conveyance reference number, JourneyID,       JourneyID,Declaration.BorderTransportMeans.JourneyID,מספר מסע,,"מספר הפלגה - בימי
מספר טיסה - באווירי",,צריך
109,  declaration,3,T005 ,0..1,,,שם אוניה-רשומה 2 -פוז' 051-070,M,העתקה מלאה,שם אוניה,Identification of means of transport crossing the border, Name,       Name,Declaration.BorderTransportMeans.Name,שם כלי תובלה,,רלוונטי רק למצהר ימי,,צריך
110,  declaration,3,T014 ,0..1,,,קוד דגל-רשומה 2- פוז' 083-084,M,המרה לפי טבלת דגלים קהילתית V01- כניסה לפי ערך בעמודה: V01_DEGEL והכנסת ערך מעמודה: ISO3166 התואמת,קוד דגל,"Nationality of means of transport crossing the border, coded", RegistrationNationalityID,       RegistrationNationalityID,Declaration.BorderTransportMeans.RegistrationNationalityID,מדינת רישום,מספר מזהה מדינת רישום כלי תובלה,,"ייתכן שיש טבלת קשר בין קודי מדינות לקודי זנב.
אם כן לא נדרש באווירי",צריך
113,  declaration,3,T010 ,0..1,,סוג אנייה,,M,רק ביצירת כותרת דרך צפי -המרה לפי טבלה TBLOAD_V03_SUG_ONIYA- יש לקחת את הערך משדה: WCO_SHIP_TYPE,,"Mode/type of means of transport crossing the border, coded", TypeCode,       TypeCode,Declaration.BorderTransportMeans.TypeCode,קוד סוג כלי תובלה,,"לבדוק טבלת סוגים של אניות, מטוסים, יבשתי",,צריך
135,  declaration,3,81A,0..*,,,,,H,,, Itinerary,       Itinerary,Declaration.BorderTransportMeans.Itinerary,כותרת מסלול כלי תובלה,,,,צריך
136,  declaration,4,064 ,0..*,,משמש לציון מדינות שבהן עבר כלי השייט במסע SERVICE LANE,,M,רק ביצירת כותרת דרך צפי -מדיווח הצפי ילקחו רשימות הנמלים המדווחים לקו הפלגה. יש לקחת את 2 הפוז' הראשונות מקוד הנמל,,"Country(ies) of routing, coded",RoutingCountryCode,         RoutingCountryCode,Declaration.BorderTransportMeans.Itinerary.RoutingCountryCode,קוד מדינה במסלול,,,,צריך
162,  declaration,3,32B,0..*,,,,,H,,, TransportMeansOperator,       TransportMeansOperator,Declaration.BorderTransportMeans.TransportMeansOperator,כותרת חברה מתפעלת כלי תובלה,,,,צריך
163,  declaration,4,R056 ,0..1,,,מוביל - בימי,M,ח.פ סוכן אנייה מתפעל יתקבל רק בשלב יצירת כותרת ממסר צפי אנייה. לא ימולא בשלב ההמרות,מוביל - בימי,"Operator of means of transport, coded",ID,         ID,Declaration.BorderTransportMeans.TransportMeansOperator.ID,מזהה חברה מתפעלת,,,,צריך
181,  declaration,2,18A,0..*,,,,,H,,,Carrier,   Carrier,Declaration.Carrier,כותרת חברת תובלה,,,,צריך
182,  declaration,3,R012 ,0..1,,,קוד חברת ספנות- רשומה 3-פוז' 189-191,M,העתקה מלאה- קוד חברת ספנות,,Carrier identification,ID,      ID,Declaration.Carrier.ID, מזהה חברת תובלה,,,,צריך
895,  declaration,2,17B,0..1,,,,,H,,,Submitter,   Submitter,Declaration.Submitter,כותרת פרטי גורם מדווח,,משמש לדיווח של גורם מדווח,,צריך
896,  declaration,3,R059 ,0..1,,,,M,"בשידור כותרת ע""פ הצפי יאוכלס ב- ח.פ של חנ""י. במקרה של המרות למצהר יאוכלס בח.פ של הגורם המשדר(ס.אנייה/משלח)- ניתן לעבור בטבלת ס.אנייה ולשלוף ערך בשדה: S03_MISPAR_OSEK",,"Submitter, coded",ID,      ID,Declaration.Submitter.ID,מזהה גורם מדווח,,"מספר מזהה של גורם מדווח 
הגורם המדווח הוא בעל הנתונים. הוא זה שמצהיר על הנתונים",,צריך
199,Consignment,2,28A,0..*,,,,,H,,,Consignment,   Consignment,Declaration.Consignment,כותרת פרטי מטען,,כותרת פרטי מטען,,צריך
201,Consignment,3,314 ,0..1,,לא רלוונטי למצהר ימי,,,לא צריך,,Boarded quantity,BoardedQuantity,      BoardedQuantity,Declaration.Consignment.BoardedQuantity,כמות אריזות שהוטענה,כמות אריזות מוצהרת שעלתה לכלי תובלה,רלוונטי רק למצהר אווירי,,צריך
203,Consignment,3,134 ,0..1,,"נפח במ""ק. חובה למטענים שנפרקו בצינור.-מוצע להפוך לחובה לכלל המטענים","נפח במ""ק- רשומה 3-פוז' 109-116",O,העתקה מלאה,,Cube,GrossVolumeMeasure,      GrossVolumeMeasure,Declaration.Consignment.GrossVolumeMeasure,נפח,"נפח ביחידות של מ""ק","כאשר המטען נפרק לא בציוד אריזה אלא ע""י צינור או אמצעי אחר מהאוניה והמדדידה שלו היא ע""י מדדית הנפח , כגון נוזלים למינהם שנפרקים באמצעות צינור. ",,צריך
204,Consignment,3,006 ,0..1,מספר סידורי של העסקה בשידור הנוכחי. שדה חדש,,רשומה B מספר סידוריים בעסקה- פוז' 032-035,M,העתקה מלאה,סידורי במצהר,Sequence number,SequenceNumeric,      SequenceNumeric,Declaration.Consignment.SequenceNumeric,סידורי במצהר,,מספר סידורי במצהר. ,,צריך
205,Consignment,3,146 ,0..1,,"{כמות אריזות
(ביחידות של ציוד אריזה)",כמות אריזות כוללת- רשומה B -פוז' 044-048,M,העתקה מלאה,"כמות אריזות
(ביחידות של ציוד אריזה)",Total number of packages,TotalPackageQuantity,      TotalPackageQuantity,Declaration.Consignment.TotalPackageQuantity,כמות אריזות (ציוד אריזה) במטען,,"כמות אריזות  (ציוד אריזה) בשט""מ (ימי ואווירי)/בחשבון ספק(יבשתי)",,צריך
206,Consignment,3,011 ,0..1,,לא רלוונטי לים,,,לא צריך,,Carrier split consignment indicator,TransportSplitIndicator,      TransportSplitIndicator,Declaration.Consignment.TransportSplitIndicator,אינדקציה למטען מפוצל,,"באווירי - כאשר מטען מגיע בטיסות שונות.
",,צריך
207,Consignment,3,110 ,0..1,,ערך מטען + קוד מטבע. ,לא קיים מקור,O,לא להסבה,,Consignment value,ValueAmount,      ValueAmount,Declaration.Consignment.ValueAmount,ערך המטען,,שווי ערך המטען + מטבע,,צריך
208,Consignment,3,01A,0..*,"שדה חדש. מקום קבלת המטען ע""י סוכן אניה / משלח",,,,H,,,AcceptancePlace,      AcceptancePlace,Declaration.Consignment.AcceptancePlace,כותרת פרטי מקום קבלת המטען,,"בימי- 
אתר קבלת המטען ע""י סוכן אוניה או משלח בחו""ל
נקרא אצל סוכני האוניה Place of receive
באווירי - 
גם נקרא Place of receive","שדה חובה, השדה אתר מקור יהיה אופציונלי",צריך
209,Consignment,4,L011 ,0..1,,קוד מדינת מקור (רשומה 8 ),קוד מדינת מקור -רשומה 8-פוז' 174-175,M,העתקה מלאה,שם אתר בו קיבל הגורם את המטען לאחריותו,Place of acceptance,Name,         Name,Declaration.Consignment.AcceptancePlace.Name,שם מקום קבלת המטען ,,"בימי- 
אתר קבלת המטען ע""י סוכן אוניה או משלח בחו""ל
נקרא אצל סוכני האוניה Place of receive
באווירי - 
נקרא Place of receive",,צריך
210,Consignment,3,02A,0..*,,נועד למצבים בהם יש לצרף מסמכים נוספים. כרגע לא רלוונטי למצהר ימי,,O,לא להסבה,,,AdditionalDocument,      AdditionalDocument,Declaration.Consignment.AdditionalDocument,כותרת מסמכים מצורפים,,"משמש לצורך מסמכים נוספים שהם מצורפים פיזית למסר ,כגון: אסמכתאות לתיקונים- מסמך שקילה, חשבון הובלה , וגם מסמכים נלווים של חומרים מסוכנים",,צריך
213,Consignment,4,D005 ,0..1,,לא רלוונטי למצהר ימי נועד למצבים בהם יש לצרף מסמכים נוספים. ,,M,לא להסבה,,Additional document reference number,ID,         ID,Declaration.Consignment.AdditionalDocument.ID,מזהה מסמך,,,להעביר ל- Additonal Information,צריך
215,Consignment,4,D001 ,0..1,,לא רלוונטי למצהר ימי נועד למצבים בהם יש לצרף מסמכים נוספים. ,,O,לא להסבה,,"Additional document issuer, coded",IssuingPartyID,         IssuingPartyID,Declaration.Consignment.AdditionalDocument.IssuingPartyID,מזהה מפיק מסמך,,מזהה הגורם המפיק שהוציא את המסמך,,צריך 
216,Consignment,4,D006 ,0..1,,לא רלוונטי למצהר ימי נועד למצבים בהם יש לצרף מסמכים נוספים. ,,M,לא להסבה,,"Additional document type, coded",TypeCode,         TypeCode,Declaration.Consignment.AdditionalDocument.TypeCode,קוד סוג מסמך,,,להעביר ל- Additonal Information,צריך
253,Consignment,3,11A,0..*,לסנן את אלו שלא צריך. כל החטיבה לא רלוונטית,צרופות לא קיימות במסר הקיים,,,H,,,AssociatedTransportDocumet,      AssociatedTransportDocumet,Declaration.Consignment.AssociatedTransportDocumet,מסמכים מצורפים,,מסמכים מצורפים למטען הקשורים להובלה,,לא צריך
254,Consignment,4,D008 ,0..1,,לפי תשובת מלמ מ-7/8/11 חובה רק למשלח אך חטיבה זו לא בשימוש????,,C,לא צריך,,Associated transport document number,ID,         ID,Declaration.Consignment.AssociatedTransportDocumet.ID,מזהה מסמך,,,,לא צריך
255,Consignment,4,D009 ,0..1,,לפי תשובת מלמ מ-7/8/11 חובה רק למשלח אך חטיבה זו לא בשימוש????,,C,לא צריך,,"Associated transport document type, coded",TypeCode,         TypeCode,Declaration.Consignment.AssociatedTransportDocumet.TypeCode,סוג מסמך,,,,לא צריך
274,Consignment,4,17B,0..1,,,,,H,,,Submitter,         Submitter,Declaration.Consignment.Submitter,פרטי גורם מדווח ,,,,לא צריך
275,Consignment,5,R059 ,0..1,,"בים - מדובר בסוכן אוניה או משלח בינלאומי שמשדרים עיסקאות בנפרד
כאשר המשדר הוא סוכן מתפעל אזי ה- submitter=carrier","ח.פ. המשדר ע""פ מבנה שם המסר בכספת",O,לא צריך,"
סוכן אוניה/משלח בינלאומי","Submitter, coded",ID,            ID,Declaration.Consignment.Submitter.ID,"מזהה גורם מדווח
מדובר במשלח שמשדר שטרי מטען HOUSE הקשורים לשטר מטען אב Master של חברת התעופה",,,,לא צריך
292,Consignment,3,18A,0..*,,,,,H,,,Carrier,      Carrier,Declaration.Consignment.Carrier,פרטי חברת תובלה,,,,לא צריך
293,Consignment,4,R012 ,0..1,,"חופף לשדה 30 , להשאיר אופציונלי או שלא צריך בכלל ברמת מטען.קוד חברת ספנות- לפי טבלת תס""ק ים",חברת ספנות-רשומה 3 -פוז' 189-191,O,העתקה מלאה,חברת ספנות,Carrier identification,ID,         ID,Declaration.Consignment.Carrier.ID,מזהה חברת תובלה,,"הועבר מרמת שורה לרמת מטען
בימי - מספר חברת הספנות שמטפלת במכולה .
באווירי - מספר חברת התעופה  שמטפלת במטען.
ביבשתי- מספר חברת הובלה שמטפלת במטען.","חופף לשדה 30 , להשאיר אופציונלי או שלא צריך בכלל ברמת מטען",לא צריך
310,Consignment,3,27A,0..*,,,,,H,נשגר,,Consignee,      Consignee,Declaration.Consignment.Consignee,כותרת פרטי נשגר,,,,צריך
311,Consignment,4,R015 ,0..1,,"ערך תקף לפי טבלת יצואנים/יבואנים ממל""ם",קוד יבואן-רשומה 6-פוז' 144-152,O,העתקה מלאה,מספר מזהה נשגר ,"Consignee, coded",ID,         ID,Declaration.Consignment.Consignee.ID,מספר מזהה נשגר ,,"במצהר אווירי:
ב- master לא חובה
ב- direct חובה
במצהר מלא - לא חובה

במצהר יבשתי : 
הנשגר תמיד היבואן ולכן מספר היבואן יוזן בשדה זה. 

מספר מזהה נשגר  חובה ביבוא, אופציונלי בשיטעון",,צריך
312,Consignment,4,R014 ,0..1,,,שם הנשגר-רשומה 6-פוז' 016-050,M,העתקה מלאה ,שם הנשגר ,Consignee name,Name,         Name,Declaration.Consignment.Consignee.Name,שם הנשגר ,,,,צריך
313,Consignment,4,04A,0..*,,,,M,H,כתובת הנשגר,,Address,         Address,Declaration.Consignment.Consignee.Address,כותרת פרטי כתובת הנשגר,,,יש לקלוט,צריך
314,Consignment,5,241 ,0..1,,,עיר הנשגר-רשומה 6-פוז' 081-100,M,העתקה מלאה,כתובת הנשגר,City name,CityName,            CityName,Declaration.Consignment.Consignee.Address.CityName,שם עיר,,,יש לקלוט,צריך
315,Consignment,5,242 ,0..1,,,מדינת הנשגר-רשומה 6-פוז' 107-108,M,העתקה מלאה,כתובת הנשגר,"Country, coded",CountryCode,            CountryCode,Declaration.Consignment.Consignee.Address.CountryCode,קוד מדינה,,,יש לקלוט,צריך
316,Consignment,5,244 ,0..1,,,,O,לא להסבה,כתובת הנשגר,Country sub-entity identification,CountrySubDivisionID,            CountrySubDivisionID,Declaration.Consignment.Consignee.Address.CountrySubDivisionID,קוד תת מדינה,,"ביבוא לארץ לא צריך , במצהר מלא כאשר המטען מיועד למדינה עם חלוקה לאזורים ",יש לקלוט,צריך
317,Consignment,5,243 ,0..1,,,,O,לא להסבה,כתובת הנשגר,Country sub-entity name,CountrySubDivisionName,            CountrySubDivisionName,Declaration.Consignment.Consignee.Address.CountrySubDivisionName,שם תת מדינה,,"ביבוא לארץ לא צריך , במצהר מלא כאשר המטען מיועד למדינה עם חלוקה לאזורים ",יש לקלוט,צריך
