 ,WCO  CRI ,,,,,לטובת הסבות מסר קיים למסר חדש,,,v,,,,WCO  CRI ,לטובת הסבות מסר קיים למסר חדש,,כללי,,, 
506,Consignment,5,239 ,0..1,"בכל נושא הכתובות ( יבואן, ספק, מיודע) ההעברה צריכה להיות לשדה רחוב ומספר שהוא טקסטואלי וחובה בכולם",חובה במצהר מלא,רחוב ומס' בית של השוגר-רשומה 8- פוז' 051-080,C,העתקה מלאה,כתובת שוגר,Street and number/P.O. Box,Line,            Line,Declaration.Consignment.Consignor.Address.Line,"רחוב ומספר בית או תיבת דואר.
במקרה שהכתובת לא מפורמטת יש לשדר בשדה זה את כל הכתובת כפי שרשומה בשטר מטען",,רחוב ומספר בית או תיבת דואר ,יש לקלוט,צריך
507,Consignment,5,245 ,0..1,,,מיקוד השוגר-רשומה 8 - פוז' 101-106,O,העתקה מלאה של מיקוד שוגר,כתובת שוגר,Postcode identification,PostcodeID,            PostcodeID,Declaration.Consignment.Consignor.Address.PostcodeID,מיקוד,,מיקוד,יש לקלוט,צריך
508,Consignment,4,25A,0..*,,,,O,H,אמצעי קשר,,Communication,         Communication,Declaration.Consignment.Consignor.Address.Communication,כותרת אמצעי קשר,,,יש לקלוט,צריך
509,Consignment,5,240 ,0..1,,,טלפון השוגר-רשומה 8- פוז' 109-120,O,העתקה מלאה,מספר אמצעי קשר,Communication number,ID,            ID,Declaration.Consignment.Consignor.Address.Communication.ID,מספר אמצעי קשר,,"מספר פקס, טלפון, דוא""ל וכו'",יש לקלוט,צריך
510,Consignment,5,253 ,0..1,,לא רלוונטי למצהר ימי,,O,לא להסבה,סוג אמצעי קשר,Agent quality assurance indicator,TypeID,            TypeID,Declaration.Consignment.Consignor.Address.Communication.TypeID,סוג אמצעי קשר,"קוד אמצעי קשר: TE נייח, AL נייד, FX פקס, EM דוא""ל, AH אתר אינטרנט", ,יש לקלוט,צריך
559,Consignment,3,62A,0..*,,,,,H,,,Freight,      Freight,Declaration.Consignment.Freight,כותרת פרטי חשבון עלות הובלה,חשבון לכל סוג הובלה,"סה""כ העלות של ההובלה (מטבע) = ",,צריך
560,Consignment,4,098 ,0..1,,לפי טבלה EDIFACT4215,תנאי תשלום -רשומה 6-פוז' 154-155,M,"יש לקחת את הערך מרשומה 6 ולהמיר אות כדלקמן:CO =CC(חדש)   ,CA=CA(חדש),  FR=NC (חדש),       PR = PO(חדש)     ,PA=PP (חדש)",תנאי תשלום ,"Transport charges method of payment, coded",PaymentMethodCode,         PaymentMethodCode,Declaration.Consignment.Freight.PaymentMethodCode,תנאי תשלום חשבון הובלה,"טבלת ערכים. לפי החלטת המכס, המערכת תאפשר שימוש ב 5 קודים בלבד מתוך הטבלה edifact4215 . הקודים שיורשו לשימוש:   CC - collect,                            CA - collect abroad,             NC - free,           PO - prepaid,              PP - prepaid abroad             ","לדוגמא:  PREPAID  , טבלת ערכים. לפי החלטת המכס, המערכת תאפשר שימוש ב 5 קודים בלבד מתוך הטבלה edifact4215 . הקודים שיורשו לשימוש:   CC - collect,        CA - collect abroad,             NC - free,   PO - prepaid,   PP - prepaid abroad            ",,צריך
561,Consignment,4,310 ,0..1,שדה חדש. ערכי ההובלה,לא חובה במצהר מכולות ריקות,,C,לא ניתן,,Freight rate amount,RateAmount,         RateAmount,Declaration.Consignment.Freight.RateAmount,תעריף עלות ההובלה,,,,צריך
562,Consignment,4,308 ,0..1,שדה חדש. ערכי ההובלה,יחידת מידה אליה מתייחס התעריף.חובה בדיווח משלח ימי,,C,לא ניתן,,Freight rate quantity,RateQuantity,         RateQuantity,Declaration.Consignment.Freight.RateQuantity,תעריף יחידת כמות,,נתון זה מאפשר לדעת כיצד חושבה עלות ההובלה - תעריף הובלה ליחידת כמות,,צריך
563,Consignment,4,309 ,0..1,שדה חדש. ערכי ההובלה,קוד שיטת חישוב הובלה. חובה בדיווח של משלח ימי,,C,לא ניתן,,Freight rate type code,RateTypeCode,         RateTypeCode,Declaration.Consignment.Freight.RateTypeCode,קוד סוג שיטת חישוב עלות הובלה,,נתון זה מאפשר לדעת כיצד חושבה עלות ההובלה  - קוד סוג תעריף חישוב עלות הובלה.,,צריך
564,Consignment,3,63A,1,,,,,H,,,GoodsConsignedPlace,      GoodsConsignedPlace,Declaration.Consignment.GoodsConsignedPlace,כותרת פרטי אתר מקור,,,,צריך
565,Consignment,4,L024 ,0..1,לדעתי לא נמל טעינה. אם כבר נמל מקור. נמל טעינה הוא רשומה 134,"קוד נמל מחו""ל בו הוטען המטען על האנייה",נמל טעינה ימי-רשומה 3 - פוז' 048-052,M,העתקה מלאה,נמל מקור,"Place or country whence consigned, coded",ID,         ID,Declaration.Consignment.GoodsConsignedPlace.ID,קוד אתר מקור,,,,צריך
569,Consignment,3,66A,0..*,,0,,,H,,,GoodsReceiptPlace,      GoodsReceiptPlace,Declaration.Consignment.GoodsReceiptPlace,כותרת פרטי אתר מסירה,,,,צריך
570,Consignment,4,L004 ,0..1,,,נמל /אתר מסירה-רשומה 3- פוז' 117-121,M,העתקה מלאה,נמל /אתר מסירה,"Goods receipt place, coded",ID,         ID,Declaration.Consignment.GoodsReceiptPlace.ID,קוד אתר מסירה,,"אתר מסירה

חובה כאשר התהליך הוא יבוא
(בשטעון לא רלוונטי)
",,צריך
572,Consignment,3,68A,0..*,,,,M,H,,,GovernmentAgencyGoodsItem,      GovernmentAgencyGoodsItem,Declaration.Consignment.GovernmentAgencyGoodsItem,כותרת פרטי סחורות לרשות ממשלתית,,,,צריך
618,Consignment,4,03A,0..*,,,,,H,,,AdditionalInformation,         AdditionalInformation,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.,כותרת מידע נוסף,,,,צריך
619,Consignment,5,105,0..1,,,,O,לא צריך,,Free text,Content,            Content,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.Content,ערך נתון,,,,צריך
621,Consignment,5,226 ,0..1,"יש בעיה להציג באקסל את השימושים השונים של החטיבה הזו שמשמשת להזנת שדות חובה כגון זיהוי ספק, זיהוי יבואן וכו' וגם לקודי פעולה כגון ביטול ופיצול / איחוד. מציע לרשום את ההתייחסות להמרה מול הטבלה המפרטת את הקודים השונים של AdditionalInformation",,רשומה B - פוז' 200-200= D,O,"תנאי - יהיה קבוע=1 כאשר ברשומה B פוז' 200 יש ערך = D, אחרת נשאר ריק",,"Additional statement, coded",StatementCode,            StatementCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementCode,קוד ערך נתון,קוד פעולה,"משמש לדיווח שדות נדרשים שאין להם שדה מוגדר . מורכב מסוג נתון והערך. (ראה שורות כחולות בהמשך)
",,צריך
623,Consignment,5,369 ,0..1,,,רשומה B - פוז' 200-200= D,C,"תנאי - יהיה קבוע=12 כאשר ברשומה B פוז' 200 יש ערך = D, אחרת נשאר ריק",,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד סוג נתון,,"משמש לביטול מטען (קוד 12 )
או לדיווח קוד יבואן (2)
או לדיווח קוד אתר יעד סופי בחו""ל (3)
או לדיווח אינדקציה לאגד עסקאות (15)
או לדיווח קוד סוג זיהוי שוגר (5)
או לדיווח קוד סוג מטען (16)",,צריך
2045,Consignment,5,105,0..1,,,, ,,,Free text,Content,            Content,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.Content,"תאריך הקמה של שט""מ בלדר","תאריך הקמה של שט""מ בלדר","רלבנטי לשט""מ בלדר בלבד.",,צריך
2046,Consignment,5,369,0..1,,,, ,,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,"סוג נתון תאריך הקמה של שט""מ בלדר","קוד פעולה = 20
תאריך הקמה של שט""מ בלדר","תאריך הקמה של שט""מ בלדר",,צריך
2023,Consignment,5,226 ,0..1,,,, ,,,"Additional statement, coded",StatementCode,            StatementCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementCode,קוד פעולה,קבוע:   1 ,שכפול של 621,,צריך
2024,Consignment,5,369 ,0..1,,,, ,,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד פעולה,"קוד פעולה= 12 (ביטול עסקה / שט""מ)",שכפול של 623,,צריך
"2003
",Consignment,5,105,0..1,,,קוד יבואן- רשומה 6-פוז' 144-152,M,העתקה מלאה,,Free text,Content,            Content,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.Content,מספר היבואן,ImporterID,"יש לדווח מספר מזהה ישות  (ח.פ או ת.ז) 
במקרה של דרכון 
יש לדווח סוג תעודה(תו אחד)+קוד מדינה(2 תוים)+מספר דרכון  כשדה אחד בצורה משורשרת
לדוגמא: 2IL123456789
שכפול של 619",,צריך
"2004
",Consignment,5,369 ,0..1,,תמיד למלא 2 = קוד המייצג מספר ח.פ,סוג מספר יבואן-רשומה 6 -פוז' 153-153,M,תנאי-ערך קבוע= 2 במידה ונמצא ערך ב-קוד יבואן- רשומה 6-פוז' 144-152 (אחרת ריק),,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד מספר יבואן, קוד מספר יבואן = 2,"לכל המצהרים - מספר יבואן  חובה ביבוא, אופציונלי בשיטעון
שכפול של 623",,צריך
"2005
",Consignment,5,226 ,0..1,,העתקה מלאה של קוד נמל כאשר: Consignment.AdditionalInformation.StatementTypeCode =3,נמל יעד סופי בשטעון -רשומה 8-פוז'181-185,C,העתקה מלאה של קוד נמל כאשר: Consignment.AdditionalInformation.StatementTypeCode =3,,"Additional statement, coded",StatementCode,            StatementCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementCode,"מזהה אתר יעד סופי בחו""ל",FinalDestinationLocationID,שכפול של 621,,צריך
"2006
",Consignment,5,369 ,0..1,,,נמל יעד סופי בשטעון -רשומה 8-פוז'181-185,C,תנאי:ערך קבוע = 3 - חובה במקרה של שטעון כאשר נמצא ערך בשדה: נמל יעד סופי בשטעון -רשומה 8-פוז'181-185,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,"קוד אתר יעד סופי בחו""ל","קוד אתר יעד סופי בחו""ל = 3",שכפול של 623,,צריך
2007,Consignment,5,226 ,0..1,,קוד סוג שינוע/פריקה מהאוניה (חדש). מטבלת EDIFACT4451,,O,לא צריך,,"Additional statement, coded",StatementCode,            StatementCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementCode,קוד סוג שינוע/פריקה מהאוניה (חדש),UnloadingTypeCode,,,לא צריך
2008,Consignment,5,226,0..1,,קוד סוג שינוע/פריקה מהאוניה (חדש). מטבלת EDIFACT4451,,O,לא צריך,,"Additional statement, coded",StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד סוג שינוע/פריקה מהאוניה (חדש),קוד סוג שינוע/פריקה = 4,מידע זה נדרש לצרכים התפעוליים של הנמל הקשורים לתהליך הפריקה של האוניה,,לא צריך
"2007
",Consignment,5,105,0..1,,"חובה כאשר באותה מכולה יש הרבה עסקאות של אותו יבואן או יבואנים שונים והמכולה לא אמורה לעבור ריקון 
(כן/לא)- יש לקשור לסוגי טיפול","קוד טיפול, רשומה 3, פוז' 091-092",C,"תנאי-אם רשומה 3, פוז' 091-092 =12 או 28 אזי ערך קבוע = 1, אחרת 2",,Free text,Content,            Content,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.Content,אינדקציה אגד עסקאות,"1= Yes
2=No
שכפול של 619","1= Yes
2=No
שכפול של 619",,צריך
"2008
",Consignment,5,369 ,0..1,,חובה כאשר במכולה יש מספר עסקאות קוד אינדקציה אגד עסקאות = 15- לקשר לסוגי טיפול,"קוד טיפול, רשומה 3, פוז' 091-092",C,"תנאי-אם רשומה 3, פוז' 091-092 =12 או 28,ערך קבוע=15 , אחרת להשאיר ריק",,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד אינדקציה אגד עסקאות,קוד אינדקציה אגד עסקאות = 15,קוד אינדקציה אגד עסקאות = 15,,צריך
"2009
",Consignment,5,226 ,0..1,,,סוג זיהוי השוגר-רשומה 8- פוז' 145,O,1.זיהוי ספק במכס מקומי/2.קוד זיהוי מקומי/3.DUNS NO,,"Additional statement, coded",StatementCode,            StatementCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementCode,קוד סוג זיהוי שוגר,זיהוי הספק לפי : 1 = זיהוי הספק לפי טבלאות המכס - 9 ספרות.   2 = קוד זיהוי ספק מקומי (בארצו של הספק).  3.  DUNS NUMBER,"חובה אם הוזן ערך בסודר 499 (זיהוי ספק)
זיהוי הספק לפי : 1 = זיהוי הספק לפי טבלאות המכס - 9 ספרות.   2 = קוד זיהוי ספק מקומי (בארצו של הספק).  3.  DUNS NUMBER",,צריך
"2010
",Consignment,5,369,0..1,,מספר המזהה ספק - העתקה מלאה,זיהוי ספק-רשומה 8- פוז' 146-165,O,העתקה מלאה,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד סוג זיהוי שוגר,קוד סוג זיהוי שוגר = 5,שכפול של 623,מטופל במסגרת Data Type,צריך
"2038
",Consignment,5,226 ,0..1,,,,,,,"Additional statement, coded",StatementCode,            StatementCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementCode,סוג מטען,ערך מתוך טבלת ערכים של סוג מטען,שכפול של 621,,צריך
"2039
",Consignment,5,369,0..1,,,,,,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד סוג מטען,קוד סוג מטען = 16,שכפול של 623,,צריך
2047,Consignment,5,105,0..1,,,,,,,Free text,Content,            Content,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.Content, קוד אוניית ייצוא,ערך מתוך טבלת אוניות,שכפול של 621,,צריך
2048,Consignment,5,369,0..1,,,,,,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד נתון קוד אונית ייצוא,קוד סוג נתון קוד אוניית ייצוא = 22,שכפול של 623,,צריך
627,Consignment,3,73A,0..*,"כל מה שמופיע בעמודה S כ""לא צריך"" לא צריך להופיע בכלל בגיליון ואל תתייחסו אליו",,,,H,,,Handling,      Handling,Declaration.Consignment.Handling,טיפול במטען,,שאלה לנמלים אם נדרש קוד טיפול,,לא צריך
628,Consignment,4,092 ,0..1,,לא צריך,,O,לא צריך,,Handling instructions,Instructions,         Instructions,Declaration.Consignment.GovernmentAgencyGoodsItem.Handling.Instructions,הוראות טיפול,,,,לא צריך
629,Consignment,4,093 ,0..1,,לא צריך,,O,לא צריך,,"Handling instructions, coded",InstructionsCode,         InstructionsCode,Declaration.Consignment.GovernmentAgencyGoodsItem.Handling.InstructionsCode,קוד טיפול ,,,,לא צריך
630,Consignment,3,76A,0..*,,לא צריך,,,H,,,IntermediateCarrier,      IntermediateCarrier,Declaration.Consignment.IntermediateCarrier,,,,,לא צריך
648,Consignment,3,77A,0..*,,לא צריך,,,H,,,IntermediateConsignee,      IntermediateConsignee,Declaration.Consignment.IntermediateConsignee,,,,,לא צריך
649,Consignment,4,R036 ,0..1,,לא צריך,,,לא צריך,,"Intermediate Consignee, coded",ID,         ID,Declaration.Consignment.IntermediateConsignee.ID,,,,,לא צריך
650,Consignment,4,04A,0..*,,לא צריך,,,H,,,Address,         Address,,פרטי כתובת,,,,לא צריך
651,Consignment,5,241 ,0..1,,לא צריך,,,לא צריך,,City name,CityName,            CityName,,שם עיר,,,,לא צריך
652,Consignment,5,242 ,0..1,,לא צריך,,,לא צריך,,"Country, coded",CountryCode,            CountryCode,,קוד מדינה,,,,לא צריך
653,Consignment,5,244 ,0..1,,לא צריך,,,לא צריך,,Country sub-entity identification,CountrySubDivisionID,            CountrySubDivisionID,,,,,,לא צריך
654,Consignment,5,243 ,0..1,,לא צריך,,,לא צריך,,Country sub-entity name,CountrySubDivisionName,            CountrySubDivisionName,,,,,,לא צריך
655,Consignment,5,239 ,0..1,,לא צריך,,,לא צריך,,Street and number/P.O. Box,Line,            Line,,,,,,לא צריך
656,Consignment,5,245 ,0..1,,לא צריך,,,לא צריך,,Postcode identification,PostcodeID,            PostcodeID,,,,,,לא צריך
657,Consignment,4,25A,0..*,,,,,H,,,Communication,         Communication,,,,,,לא צריך
658,Consignment,5,240 ,0..1,,לא צריך,,,לא צריך,,Communication number,ID,            ID,,,,,,לא צריך
659,Consignment,5,253 ,0..1,,לא צריך,,,לא צריך,,Agent quality assurance indicator,TypeID,            TypeID,,,,,,לא צריך
660,Consignment,4,34A,0..*,,,,,H,,,Contact,         Contact,,,,,,לא צריך
661,Consignment,5,246 ,0..1,,לא צריך,,,לא צריך,,Department or employee  contact name,Name,            Name,,,,,,לא צריך
662,Consignment,5,25A,0..*,,,,,H,,,Communication,            Communication,,,,,,לא צריך
663,Consignment,6,240 ,0..1,,לא צריך,,,לא צריך,,Communication number,ID,               ID,,,,,,לא צריך
664,Consignment,6,253 ,0..1,,לא צריך,,,לא צריך,,Agent quality assurance indicator,TypeID,               TypeID,,,,,,לא צריך
2017,Consignment,5,105,0..1,,לא רלוונטי למצהר ימי,,,לא צריך,,Free text,Content,            Content,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.Content,חניית לילה/פריקת לילה,NightParkingIndicator ,"אינדקציית חניית לילה (כן/לא)
שכפול של 619",,צריך
2018,Consignment,5,369 ,0..1,,לא רלוונטי למצהר ימי,,,לא צריך,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד חניית לילה/פריקת לילה,קוד חניית לילה = 9,שכפול של 623,,צריך
2045,Consignment,5,105,1,,,,,,,Free text,Content,            Content,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.Content,סוג מארז לצורכי תפעול למטען יבשתי,fee,סוג מארז לצורכי תפעול למטען יבשתי,,צריך
2046,Consignment,5,369 ,1,,,,,,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד סוג מארז לצורכי תפעול למטען יבשתי,מאפיין אגרה = 18,קוד סוג מארז לצורכי תפעול למטען יבשתי,,צריך
2040,Consignment,5,105,1,,,,,,,Free text,Content,            Content,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.Content,מספר מצהר יצוא,"רלוונטי למטענים בתהליך שטעון , מספר מצהר היצוא ","מספר מצהר יצוא
",,צריך
2041,Consignment,5,369 ,1,,,,,,,Additional statement type,StatementTypeCode,            StatementTypeCode,Declaration.Consignment.GovernmentAgencyGoodsItem.AdditionalInformation.StatementTypeCode,קוד סוג נתון מספר מצהר יצוא  17,"רלוונטי למטענים בתהליך שטעון , קוד מספר מצהר היצוא   17","סוג נתון = 17  
 מציין מספר מצהר יצוא               
",,צריך
2051,Consignment,3,226,0..1,,,,M,,,"Additional statement, coded",StatementCode,      StatementCode,Declaration.AdditionalInformation.StatementCode,ערך סוג גורם משדר מצהר,"ערכים לקוד סוג גורם משדר
7 -  סוכן אוניה
6 -  משלח בינלאומי
","ערכים לקוד סוג גורם משדר
7 -  סוכן אוניה
6 -  משלח בינלאומי
",,צריך
2052,Consignment,3,369,0..1,,,,M,,,Additional statement type,StatementTypeCode,      StatementTypeCode,Declaration.AdditionalInformation.StatementTypeCode,קוד סוג נתון גורם משדר מצהר,"24= קוד סוג גורם משדר
SubimterType","24= קוד סוג גורם משדר
SubimterType",,צריך
665,Consignment,3,83A,0..*,,,,M,H,,,LoadingLocation,      LoadingLocation,Declaration.Consignment.LoadingLocation,כותרתפרטי אתר טעינה,,,,צריך
666,Consignment,4,L010 ,0..1,,"נמל טעינת המטען בחו""ל לפי טבלת חובה במצהר מלא+ריקות",נמל טעינה ימי-רשומה 3 - פוז' 048-052,C,העתקה מלאה ,נמל טעינה/נמל מוצא,"Place of loading, coded",ID,         ID,Declaration.Consignment.LoadingLocation.ID,נמל טעינה/נמל מוצא,"הנמל בחו""ל בו הוטען המטען לאניה או למטוס
port of loading

חובה לסוכן אוניה וחברת תעופה, רשות למשלח ימי",במקרה של מצהר יבשתי - האתר הקרוב מטבלת LOCODE  בו הוטען המטען למשאית,,צריך
668,Consignment,3,89A,0..*,,,,,H,,,NotifyParty,      NotifyParty,Declaration.Consignment.NotifyParty,כותרת פרטי מיודע,,,,צריך
670,Consignment,4,R045 ,0..1,,,שם המיודע-רשומה 7- פוז' 016-050,O,העתקה מלאה,שם המיודע,Notify party,Name,         Name,Consignment.NotifyParty.Name,שם מיודע,,,,צריך
671,Consignment,4,04A,0..*,,,,,H,כתובת מיודע ,,Address,         Address,Declaration.Consignment.NotifyParty.Address,כותרת כתובת מיודע,,,,צריך
672,Consignment,5,241 ,0..1,,,עיר המיודע-רשומה 7-פוז' 081-100,O,העתקה מלאה,כתובת מיודע ,City name,CityName,            CityName,Declaration.Consignment.NotifyParty.Address.CityName,שם עיר,,,,צריך
673,Consignment,5,242 ,0..1,,,מדינת המיודע-רשומה 7-פוז' 107-108,O,העתקה מלאה,כתובת מיודע ,"Country, coded",CountryCode,            CountryCode,Declaration.Consignment.NotifyParty.Address.CountryCode,קוד מדינה,,,,צריך
674,Consignment,5,244 ,0..1,,קוד תת מדינה,,O,לא צריך,כתובת מיודע ,Country sub-entity identification,CountrySubDivisionID,            CountrySubDivisionID,Declaration.Consignment.NotifyParty.Address.CountrySubDivisionID,קוד תת מדינה,,,,צריך
676,Consignment,5,239 ,0..1,"בכל נושא הכתובות ( יבואן, ספק, מיודע) ההעברה צריכה להיות לשדה רחוב ומספר שהוא טקסטואלי וחובה בכולם",,רחוב ומספר בית של המיודע או ת.ד דואר- רשומה 7- פוז' 051-80,O,העתקה מלאה,כתובת מיודע ,Street and number/P.O. Box,Line,            Line,Declaration.Consignment.NotifyParty.Address.Line,"רחוב ומספר בית או תיבת דואר.
במקרה שהכתובת לא מפורמטת יש לשדר בשדה זה את כל הכתובת כפי שרשומה בשטר מטען",,,,צריך
677,Consignment,5,245 ,0..1,,,מיקוד המיודע-רשומה 7- פוז' 101-106,O,העתקה מלאה,כתובת מיודע ,Postcode identification,PostcodeID,            PostcodeID,Declaration.Consignment.NotifyParty.Address.PostcodeID,מיקוד,,,,צריך
678,Consignment,4,25A,0..*,,,,,H,,,Communication,         Communication,Declaration.Consignment.NotifyParty.Address.Communication,כותרת פרטי אמצעי קשר,,"טלפון,פקס,email",,צריך
679,Consignment,5,240 ,0..1,,,מספר טלפון של מיודע-רשומה 7-פוז' 109-120,O,העתקה מלאה,,Communication number,ID,            ID,Declaration.Consignment.NotifyParty.Address.Communication.ID,מספר אמצעי קשר,,,,צריך
680,Consignment,5,253 ,0..1,,טבלת EDIFACT3155,,O,לא צריך,,Agent quality assurance indicator,TypeID,            TypeID,Declaration.Consignment.NotifyParty.Address.Communication.TypeID,סוג אמצעי קשר,"קוד אמצעי קשר: TE נייח, AL נייד, FX פקס, EM דוא""ל, AH אתר אינטרנט",,,צריך
707,Consignment,3,23B,0..*,,,,,H,,,TranshipmentLocation,      TranshipmentLocation,Declaration.Consignment.NotifyParty.TranshipmentLocation,,,,,לא צריך
708,Consignment,4,L015 ,0..1,,,נמל יעד סופי -רשומה 8 -פוז' 181-185,O,העתקה מלאה-חובה במקרה של שטעון/ש.בינמלי/מסוף גבול יבשתי,,"Transshipment place, coded",ID,         ID,Declaration.Consignment.TranshipmentLocation.ID,"נמל פריקה בחו""ל",לאן מיועד המטען המשוטען,קוד מטבלת LOCODE של האתר אליו יצאו הטובין מהארץ,,צריך
710,Consignment,3,24B,0..*,,לא צריך,,,H,,,TransitControl,      TransitControl,,,,,,לא צריך
713,Consignment,3,26B,0..*,,,,C,H,,,TransitDestination,      TransitDestination,Declaration.Consignment.TransitDestination,כותרת פרטי יעד המטען במקרה של שטעון,,,,צריך
714,Consignment,4,L008 ,0..1,,חובה במקרה של שטעון/ש.בינמלי/מסוף גבול יבשתי,נמל היציאה מהארץ -רשומה 3-פוז' 122-126,C,העתקה מלאה,נמל היציאה מהארץ,"Place of destination of the transit, coded",ID,         ID,Declaration.Consignment.TransitDestination.ID,קוד אתר היציאה מהארץ במקרה של שטעון ,,"קוד מטבלת LOCODE של האתר ממנו יצאו הטובין מהארץ.
שדה חובה כאשר סוג תהליך = שטעון.",,צריך
718,Consignment,3,30B,0..*,,,,,H,שטר מטען,,TransportContractDocument,      TransportContractDocument,Declaration.Consignment.TransportContractDocument,כותרת פרטי מסמכי הובלה ,,"כותרת מסמכי הובלה.
במקרה של דיווח מצהר עם מטענים - חובה מופע אחד לפחות",,צריך
719,Consignment,4,091 ,0..1,,העתקה מלאה-קוד הסכם ותנאי משלוח לפי טבלה: EDIFACT4065,צורת טיפולׁ-רשומה 6-פוז' 156-157,M,"המרה:          חדש   קיים
 
HH =27 
HP =28 
PH =29 
PP =30 
",צורת טיפול ,"Contract and carriage condition, coded",ConditionCode,         ConditionCode,Declaration.Consignment.TransportContractDocument.ConditionCode,צורת טיפול ,,"בימי - חובה.
באווירי- אופציונלי בשלב זה.
ביבשתי- חובה",,צריך
723,Consignment,4,D024 ,0..1,"לבנות לפי ערך השדה לשט""מ , עסקה, עסקת אב, עסקה קודמת",סוג שטר מטען לפי טבלה EDIFACT1001,,M,"דיווח הקודים הבאים לפי הערך שיוכנס לשדה: Declaration.Consignment.TransportContractDocument.ID: שטר מטען  -  705
שטר מטען אב (Mater)  - 704
מזהה עסקה – IL1
מזהה עסקת אב –  IL2
",,"Transport document type, coded",TypeCode,         TypeCode,Declaration.Consignment.TransportContractDocument.TypeCode,קוד סוג מסמך הובלה,,"הקודים המותרים לשט""מ ימי ואווירי והקודים המותרים לעסקה ימית ויבשתית - מפורטים בשורות הכחולות בהמשך ",,צריך
720,Consignment,4,D023 ,0..1,"זהו שדה שהערך שלו נקבע לפי הערך בשדה 159 (סוג שט""מ). גם כאן מוצע להציג את ההמרה בטבלה נפרדת",,"מספר שטר מטען-מזהה עסקה-רשומה 3-פוז' 148-163
מזהה עסקה",M,העתקה מלאה,"מספר שטר מטען
מזהה עסקה",Transport document number,ID,         ID,Declaration.Consignment.TransportContractDocument.ID,מספר מזהה מסמך הובלה ,,"ישמש עבור דיווח של:
שטר מטען ,
שטר מטען אב , 
מספר עסקה,
מספר עסקת אב",,צריך
2030,Consignment,4,D023 ,0..1,,,שטר מטען-רשומה 3- פוז' 132-147,M,העתקה מלאה,מספר שטר מטען,Transport document number,ID,         ID,Declaration.Consignment.TransportContractDocument.ID,"
מזהה שטר מטען","בעמודה U - ביטול עסקה חובה לרשום את המזהה של הישות שמבקשים לבטל. עסקה, עסקת אב, שט""מ ראשי, או שט""מ פנימי. לפי זה יש לבחור את הזוג שורות המתאים",שכפול של 720,,צריך
