DXML File,LXML File,Element Type,DXML Element Name,LXML Element Name,Attribute Type,DXML Attribute Value,LXML Attribute Value
Shipment.dxml,Shipment.lxml,Column,ComputedShipmentNumber,NULL,Name,ComputedShipmentNumber,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,IsMissingDocuments,NULL,Name,IsMissingDocuments,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,DocumentsSearchFields,NULL,Name,DocumentsSearchFields,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,LastDocumentDateTime,NULL,Name,LastDocumentDateTime,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,MissingDocumentsCount,NULL,Name,MissingDocumentsCount,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,MissingDocumentsNames,NULL,Name,MissingDocumentsNames,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,IsRequestedDocuments,NULL,Name,IsRequestedDocuments,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,RequestedDocumentsCount,NULL,Name,RequestedDocumentsCount,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,NumberOfHouses,NULL,Name,NumberOfHouses,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,IsDigitalSignRequired,NULL,Name,IsDigitalSignRequired,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,IsDepositionRequired,NULL,Name,IsDepositionRequired,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,ImporterDepositionRequestDetails,NULL,Name,ImporterDepositionRequestDetails,NULL
ShipmentComputedFields.dxml,ShipmentComputedFields.lxml,Column,Commodity,NULL,Name,Commodity,NULL
ShipmentPackage.dxml,ShipmentPackage.lxml,Column,RoutingIds,NULL,Name,RoutingIds,NULL
ShipmentPackage.dxml,ShipmentPackage.lxml,Column,Make,Make,Type,varchar,nvarchar
ShipmentPackage.dxml,ShipmentPackage.lxml,Column,Model,Model,Type,varchar,nvarchar
ShipmentPackage.dxml,ShipmentPackage.lxml,Column,Year,Year,Type,varchar,nvarchar
ShipmentPackage.dxml,ShipmentPackage.lxml,Column,Color,Color,Type,varchar,nvarchar
ShipmentPackage.dxml,ShipmentPackage.lxml,Column,ChassisNumber,ChassisNumber,Type,varchar,nvarchar
ShipmentPackage.dxml,ShipmentPackage.lxml,Column,RegistrationNumber,RegistrationNumber,Type,varchar,nvarchar
ShipmentPickUpDeliveryPackage.dxml,ShipmentPickUpDeliveryPackage.lxml,Column,Make,Make,Type,varchar,nvarchar
ShipmentPickUpDeliveryPackage.dxml,ShipmentPickUpDeliveryPackage.lxml,Column,Model,Model,Type,varchar,nvarchar
ShipmentPickUpDeliveryPackage.dxml,ShipmentPickUpDeliveryPackage.lxml,Column,Year,Year,Type,varchar,nvarchar
ShipmentPickUpDeliveryPackage.dxml,ShipmentPickUpDeliveryPackage.lxml,Column,Color,Color,Type,varchar,nvarchar
ShipmentPickUpDeliveryPackage.dxml,ShipmentPickUpDeliveryPackage.lxml,Column,ChassisNumber,ChassisNumber,Type,varchar,nvarchar
ShipmentPickUpDeliveryPackage.dxml,ShipmentPickUpDeliveryPackage.lxml,Column,RegistrationNumber,RegistrationNumber,Type,varchar,nvarchar
ShipmentReceivable.dxml,ShipmentReceivable.lxml,Column,ShipmentReceivableLineStatusCode,ShipmentReceivableLineStatusCode,Type,char,varchar
ShipmentType.dxml,ShipmentType.lxml,Column,TransportModeId,TransportModeId,Type,char,varchar
