Manual,MetaDataUpdateClass.LoadObjectTablesToTenantZero,00:00:09.9534578
Manual,MetaDataUpdateClass.LoadUpdateTenantZero,00:04:49.4211985
Manual,MetaDataUpdateClass.LoadTranslationHeaders,00:00:00.0096294
Manual,MetaDataUpdateClass.LoadMeasurements,00:00:00.0235439
Manual,MetaDataUpdateClass.LoadCreditCardTypes,00:00:00.0158342
Manual,MetaDataUpdateClass.LoadMoveTypes,00:00:00.5270682
Manual,MetaDataUpdateClass.LoadRolesAndFeatures,00:00:09.2831071
Manual,MetaDataUpdateClass.LoadObjectTableHelperControls,00:00:00.0280961
Manual,MetaDataUpdateClass.LoadEntityStatus,00:00:00.0666827
Manual,MetaDataUpdateClass.LoadEventTypes,00:00:00.7521356
Manual,MetaDataUpdateClass.LoadRanks,00:00:00.0161770
Generated,AccountingUpdateClass,00:01:14.0108078
Manual,AccountingUpdate.LoadObjectTablesToTenantZero,00:00:07.5966030
Manual,AccountingUpdate.LoadOtherFields,00:00:13.1628732
Manual,AccountingUpdate.LoadObjectTableHelperControls,00:00:00.0014535
Manual,AccountingUpdate.LoadMenustables,00:00:00.2948692
Manual,AccountingUpdate.LoadEventTypes,00:00:00.1542584
Manual,AccountingUpdate.FillTaxWithholdingAssessOffice,00:00:00.0842607
Manual,AccountingUpdate.FillAccountingCompanyType,00:00:00.0306693
Manual,AccountingUpdate.FillWithholdingTaxDeductionTypes,00:00:00.1561667
Generated,TariffModuleUpdateClass,00:00:14.8754179
Generated,TimeManagementUpdateClass,00:00:18.4742077
Generated,WarehouseLibUpdateClass,00:00:17.7359040
Manual,WarehouseUpdate.LoadRolesAndFeatures,00:00:06.8216513
Manual,WarehouseUpdate.CreateTableCounters,00:00:00.0147163
Manual,WarehouseUpdate.LoadOtherFields,00:00:05.6862712
Generated,SocialUpdateClass,00:00:52.7363401
Generated,BookingLibUpdateClass,00:00:14.4722108
Manual,BookingUpdate.LoadUpdateTenantZero,00:00:07.4519902
Manual,BookingUpdate.LoadOtherFields,00:00:05.6834305
Manual,BookingUpdate.LoadObjectTableHelperControls,00:00:00.0024268
Manual,BookingUpdate.LoadMenustables,00:00:00.2643195
Generated,CRMUpdateClass,00:00:47.2531477
Manual,CRMUpdate.LoadUpdateTenantZero,00:00:07.7102343
Manual,CRMUpdate.LoadOtherFields,00:00:05.6661810
Manual,CRMUpdate.LoadObjectTableHelperControls,00:00:00.0084765
Manual,CRMUpdate.LoadMenustables,00:00:00.2776658
Manual,CRMUpdate.LoadOpportunityClosingReasons,00:00:00.0145300
Manual,CRMUpdate.LoadOpportunityTypes,00:00:00.0124370
Manual,MetaDataUpdateClass.LoadMenustables,00:00:00.2914366
Manual,MetaDataUpdateClass.LoadDefaultReports,00:00:00.2870962
Manual,MetaDataUpdateClass.CreateMasterCounter,00:00:00.0032209
Manual,MetaDataUpdateClass.LoadEmailAlertSettings,00:00:00.0577562
Manual,MetaDataUpdateClass.LoadObjectTableRulesANDFieldsValidations,00:00:01.3036730
Manual,MetadataUpdateUtility.RunPostDeleteProcedure,00:00:00.8981706
,Total,00:10:13.5923300
