DXML File,LXML File,Element Type,DXML Element Name,LXML Element Name,Attribute Type,DXML Attribute Value,LXML Attribute Value
CustomsDocumentPointer.dxml,CustomsDocumentPointer.lxml,Relation,CustomsDocumentsTicketId,CustomsDocumentsTicketId,Referenced Table Schema,Customs,
CustomsDocumentsDefinition.dxml,CustomsDocumentsDefinition.lxml,Table,CustomsDocumentsDefinitions,CustomsDocumentsDefinitions,DBType,Main,
CustomsDocumentsDefinition.dxml,CustomsDocumentsDefinition.lxml,Table,CustomsDocumentsDefinitions,CustomsDocumentsDefinitions,Schema,Customs,
CustomsDocumentsDefinition.dxml,CustomsDocumentsDefinition.lxml,Relation,DocumentTypeCode,DocumentTypeCode,Referenced Table Schema,Customs,
CustomsDocumentsDefinition.dxml,CustomsDocumentsDefinition.lxml,Relation,TransportationTypeCode,TransportationTypeCode,Referenced Table Schema,Customs,
CustomsDocumentsDefinition.dxml,CustomsDocumentsDefinition.lxml,Relation,ProcessTypeCode,ProcessTypeCode,Referenced Table Schema,Customs,
CustomsDocumentsDefinition.dxml,CustomsDocumentsDefinition.lxml,Relation,CargoTypeCode,CargoTypeCode,Referenced Table Schema,Customs,
CustomsDocumentStatusType.dxml,CustomsDocumentStatusType.lxml,Table,CustomsDocumentStatusTypes,CustomsDocumentStatusTypes,DBType,Main,
CustomsDocumentStatusType.dxml,CustomsDocumentStatusType.lxml,Table,CustomsDocumentStatusTypes,CustomsDocumentStatusTypes,Schema,Customs,
CustomsDocumentsTicket.dxml,CustomsDocumentsTicket.lxml,Table,CustomsDocumentsTickets,CustomsDocumentsTickets,DBType,Main,
CustomsDocumentsTicket.dxml,CustomsDocumentsTicket.lxml,Table,CustomsDocumentsTickets,CustomsDocumentsTickets,Schema,Customs,
CustomsDocumentsTicket.dxml,CustomsDocumentsTicket.lxml,Relation,DocumentTypeCode,DocumentTypeCode,Referenced Table Schema,Customs,
CustomsDocumentsTicket.dxml,CustomsDocumentsTicket.lxml,Relation,VerificationStatusTypeCode,VerificationStatusTypeCode,Referenced Table Schema,Customs,
CustomsEnvoirmentType.dxml,CustomsEnvoirmentType.lxml,Table,CustomsEnvoirmentTypes,CustomsEnvoirmentTypes,DBType,Main,
CustomsEnvoirmentType.dxml,CustomsEnvoirmentType.lxml,Table,CustomsEnvoirmentTypes,CustomsEnvoirmentTypes,Schema,Customs,
CustomsExchangeRate.dxml,CustomsExchangeRate.lxml,Table,CustomsExchangeRates,CustomsExchangeRates,DBType,Main,
CustomsExchangeRate.dxml,CustomsExchangeRate.lxml,Table,CustomsExchangeRates,CustomsExchangeRates,Schema,Customs,
CustomsExchangeRate.dxml,CustomsExchangeRate.lxml,Relation,CurrencyTypeCode,CurrencyTypeCode,Referenced Table Schema,Customs,
CustomsHouseTypeAdditional.dxml,CustomsHouseTypeAdditional.lxml,Relation,TransportModeId,TransportModeId,Referenced Table Schema,Customs,
CustomsHouseTypeAdditional.dxml,CustomsHouseTypeAdditional.lxml,Relation,UnloadPortCode,UnloadPortCode,Referenced Table Schema,Customs,
CustomsItem.dxml,CustomsItem.lxml,Table,CustomsItems,CustomsItems,DBType,Main,
CustomsItem.dxml,CustomsItem.lxml,Table,CustomsItems,CustomsItems,Schema,Customs,
CustomsItemDetailsHistory.dxml,CustomsItemDetailsHistory.lxml,Table,CustomsItemDetailsHistorys,CustomsItemDetailsHistorys,DBType,Main,
CustomsItemDetailsHistory.dxml,CustomsItemDetailsHistory.lxml,Table,CustomsItemDetailsHistorys,CustomsItemDetailsHistorys,Schema,Customs,
CustomsItemDetailsHistory.dxml,CustomsItemDetailsHistory.lxml,Column,StartDate,StartDate,Type,datetime,date
CustomsItemDetailsHistory.dxml,CustomsItemDetailsHistory.lxml,Column,StartDate,StartDate,Nullable,False,True
CustomsItemDetailsHistory.dxml,CustomsItemDetailsHistory.lxml,Column,EndDate,EndDate,Type,datetime,date
CustomsItemDetailsHistory.dxml,CustomsItemDetailsHistory.lxml,Column,EndDate,EndDate,Nullable,False,True
CustomsItemDetailsHistory.dxml,CustomsItemDetailsHistory.lxml,Relation,CustomsItemID,CustomsItemID,Referenced Table Schema,Customs,
CustomsPartnerFtp.dxml,CustomsPartnerFtp.lxml,Table,CustomsPartnerFtps,CustomsPartnerFtps,DBType,Main,
CustomsPartnerFtp.dxml,CustomsPartnerFtp.lxml,Table,CustomsPartnerFtps,CustomsPartnerFtps,Schema,Customs,
CustomsPartnersItem.dxml,CustomsPartnersItem.lxml,Relation,CustomerId,CustomerId,Referenced Table Schema,Customs,
CustomsPartnersItem.dxml,CustomsPartnersItem.lxml,Relation,VendorId,VendorId,Referenced Table Schema,Customs,
CustomsPaymentTerm.dxml,CustomsPaymentTerm.lxml,Table,CustomsPaymentTerms,CustomsPaymentTerms,DBType,Main,
CustomsPaymentTerm.dxml,CustomsPaymentTerm.lxml,Table,CustomsPaymentTerms,CustomsPaymentTerms,Schema,Customs,
CustomsRequestsSheet.dxml,CustomsRequestsSheet.lxml,Table,CustomsRequestsSheets,CustomsRequestsSheets,DBType,Main,
CustomsRequestsSheet.dxml,CustomsRequestsSheet.lxml,Table,CustomsRequestsSheets,CustomsRequestsSheets,Schema,Customs,
CustomsRequestsSheet.dxml,CustomsRequestsSheet.lxml,Relation,RequestStatusCode,RequestStatusCode,Referenced Table Schema,Customs,
