DXML Table, LXML Table
AccountingPartners,AccountingPartner,Incorrect Table Name In LXML File
QBOrealMeID,QBOrealMeID,Type,nvarchar,
QBOrealMeID,QBOrealMeID,Size,200,0
QBOrealMeID,QBOrealMeID,Nullable,True,False
ReceivableVATableTempCard,ReceivableVATableTempCard,Type,varchar,
ReceivableVATableTempCard,ReceivableVATableTempCard,Nullable,True,False
ReceivableVATCard,ReceivableVATCard,Type,varchar,
ReceivableVATCard,ReceivableVATCard,Nullable,True,False
ReceivableVATExemptTempCard,ReceivableVATExemptTempCard,Type,varchar,
ReceivableVATExemptTempCard,ReceivableVATExemptTempCard,Nullable,True,False
RefreshToken,RefreshToken,Type,nvarchar,
RefreshToken,RefreshToken,Nullable,True,False
RegistryDateTypeCode,RegistryDateTypeCode,Type,varchar,
RegistryDateTypeCode,RegistryDateTypeCode,Nullable,True,False
TransferToDropboxActivated,TransferToDropboxActivated,Type,bit,
TransferToDropboxActivated,TransferToDropboxActivated,Size,0,1


DXML Table, LXML Table
AccountingSystems,AccountingSystems
DXML Column,LXML Column,Attribute,DXML Value,LXML Value
AllowAPInvoicesTransfer,AllowAPInvoicesTransfer,Type,bit,
AllowAPInvoicesTransfer,AllowAPInvoicesTransfer,Size,0,1
AllowAPPaymentsTransfer,AllowAPPaymentsTransfer,Type,bit,
AllowAPPaymentsTransfer,AllowAPPaymentsTransfer,Size,0,1
AllowARInvoicesTransfer,AllowARInvoicesTransfer,Type,bit,
AllowARInvoicesTransfer,AllowARInvoicesTransfer,Size,0,1
AllowARPaymentsTransfer,AllowARPaymentsTransfer,Type,bit,
AllowARPaymentsTransfer,AllowARPaymentsTransfer,Size,0,1
AllowManuallyDueDate,AllowManuallyDueDate,Type,bit,
AllowManuallyDueDate,AllowManuallyDueDate,Size,0,1
AllowMinusInvoiceLines,AllowMinusInvoiceLines,Type,bit,
AllowMinusInvoiceLines,AllowMinusInvoiceLines,Size,0,1
AllowPositiveAmountsInTheCreditNote,AllowPositiveAmountsInTheCreditNote,Type,bit,
AllowPositiveAmountsInTheCreditNote,AllowPositiveAmountsInTheCreditNote,Size,0,1
CanTransferToDropbox,CanTransferToDropbox,Type,bit,
CanTransferToDropbox,CanTransferToDropbox,Size,0,1
Code,Code,Type,varchar,
Code,Code,Size,4,3
InActive,InActive,Type,bit,
InActive,InActive,Size,0,1
IsExternalCodesFromAPI,IsExternalCodesFromAPI,Type,bit,
IsExternalCodesFromAPI,IsExternalCodesFromAPI,Size,0,1
IsExternalCodesFromTable,IsExternalCodesFromTable,Type,bit,
IsExternalCodesFromTable,IsExternalCodesFromTable,Size,0,1
IsExternalCodesSyncEnabled,IsExternalCodesSyncEnabled,Type,bit,
IsExternalCodesSyncEnabled,IsExternalCodesSyncEnabled,Size,0,1
IsJournalMode,IsJournalMode,Type,bit,
IsJournalMode,IsJournalMode,Size,0,1
IsSingleCurrencyAccount,IsSingleCurrencyAccount,Type,bit,
IsSingleCurrencyAccount,IsSingleCurrencyAccount,Size,0,1
